Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,133.169998,135.750000,131.970001,134.970001,134.970001,1288800
2023-10-10,135.210007,136.110001,134.869995,135.449997,135.449997,792600
2023-10-11,136.000000,136.220001,134.360001,134.369995,134.369995,1542000
2023-10-12,134.089996,135.119995,132.619995,135.020004,135.020004,947200
2023-10-13,134.929993,135.380005,133.639999,134.309998,134.309998,1135200
2023-10-16,134.619995,137.339996,134.619995,136.460007,136.460007,1158400
2023-10-17,135.690002,136.589996,134.960007,135.490005,135.490005,1266300
2023-10-18,135.619995,137.649994,134.839996,137.389999,137.389999,1036800
2023-10-19,138.020004,138.639999,135.440002,135.500000,135.500000,864700
2023-10-20,135.360001,136.029999,134.089996,134.649994,134.649994,843700
2023-10-23,134.339996,134.399994,132.020004,132.429993,132.429993,680100
2023-10-24,133.679993,136.339996,133.339996,136.279999,136.279999,688000
2023-10-25,135.869995,136.009995,133.550003,133.600006,133.600006,668200
2023-10-26,133.320007,134.009995,132.460007,132.479996,132.479996,977900
2023-10-27,131.910004,132.449997,131.050003,131.839996,131.839996,1578800
2023-10-30,132.000000,132.399994,126.570000,129.449997,129.449997,2368700
2023-10-31,129.389999,134.490005,129.130005,134.250000,134.250000,1266100
2023-11-01,134.979996,137.759995,134.259995,136.259995,136.259995,1002500
2023-11-02,135.979996,136.720001,134.720001,136.580002,136.580002,701700
2023-11-03,136.429993,137.639999,135.509995,136.919998,136.919998,634800
2023-11-06,137.039993,138.880005,136.190002,138.759995,138.759995,789500
2023-11-07,139.000000,139.270004,137.759995,137.860001,137.860001,629500
2023-11-08,138.070007,138.860001,136.460007,137.559998,137.559998,602300
2023-11-09,138.000000,140.100006,138.000000,138.309998,138.309998,825700
