Date,Open,High,Low,Close,Adj Close,Volume
2023-10-08,3178.000000,3211.000000,3042.000000,3042.000000,3018.256836,4337310
2023-10-09,3041.000000,3115.000000,3020.000000,3060.000000,3036.116455,3882211
2023-10-10,3054.000000,3096.000000,3040.000000,3079.000000,3054.968018,5068052
2023-10-11,3080.000000,3100.000000,2974.000000,2999.000000,2975.592529,5415043
2023-10-12,3011.000000,3033.000000,2917.000000,2963.000000,2939.873535,4752766
2023-10-15,2929.000000,2929.000000,2826.000000,2870.000000,2847.599365,2921032
2023-10-16,2898.000000,2986.000000,2898.000000,2953.000000,2929.951416,2731916
2023-10-17,2963.000000,3019.000000,2913.000000,2956.000000,2932.927979,4256393
2023-10-18,2966.000000,2984.000000,2902.000000,2962.000000,2938.881348,2305674
2023-10-19,2960.000000,2996.000000,2895.000000,2895.000000,2872.404297,3040529
2023-10-22,2865.000000,2875.000000,2816.000000,2816.000000,2794.020752,1878076
2023-10-23,2850.000000,2859.000000,2770.000000,2770.000000,2748.379883,3692061
2023-10-24,2805.000000,2842.000000,2793.000000,2819.000000,2796.997314,3621292
2023-10-25,2795.000000,2852.000000,2775.000000,2841.000000,2818.825684,2980660
2023-10-26,2815.000000,2835.000000,2792.000000,2812.000000,2790.052002,5793206
2023-10-29,2830.000000,2924.000000,2830.000000,2920.000000,2897.208984,1430486
2023-10-30,2924.000000,2999.000000,2895.000000,2977.000000,2953.764160,2492848
2023-10-31,2977.000000,2977.000000,2977.000000,2977.000000,2953.764160,0
2023-11-01,2894.000000,2956.000000,2870.000000,2932.000000,2909.115479,2342310
2023-11-02,2959.000000,2996.000000,2945.000000,2971.000000,2947.811035,3843969
2023-11-05,3038.000000,3069.000000,3029.000000,3058.000000,3034.132080,1723816
2023-11-06,3050.000000,3075.000000,2963.000000,2963.000000,2939.873535,3045620
2023-11-07,3009.000000,3065.000000,2993.000000,3065.000000,3041.077393,3038044
2023-11-08,3065.000000,3086.000000,3035.000000,3059.000000,3035.124268,2802158
2023-11-09,3080.000000,3091.000000,3017.000000,3049.000000,3025.202148,2268337
