Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,39.520000,40.000000,37.849998,39.290001,39.290001,4506600
2023-10-10,39.349998,40.610001,39.020000,39.790001,39.790001,1853400
2023-10-11,39.950001,40.259998,36.880001,36.980000,36.980000,3647200
2023-10-12,37.020000,38.169998,36.009998,36.340000,36.340000,3502500
2023-10-13,36.360001,36.610001,33.259998,34.560001,34.560001,4694500
2023-10-16,35.049999,36.209999,35.049999,35.820000,35.820000,2088800
2023-10-17,35.680000,37.049999,35.110001,36.610001,36.610001,2563700
2023-10-18,36.360001,36.830002,35.830002,35.849998,35.849998,2870500
2023-10-19,35.799999,36.189999,34.299999,35.009998,35.009998,1802300
2023-10-20,34.799999,35.759998,34.619999,35.549999,35.549999,1627300
2023-10-23,35.049999,35.740002,34.799999,34.919998,34.919998,1615400
2023-10-24,34.990002,35.709999,34.790001,35.389999,35.389999,2229300
2023-10-25,34.869999,35.389999,33.750000,33.959999,33.959999,3059200
2023-10-26,36.000000,37.840000,35.869999,36.419998,36.419998,4992600
2023-10-27,36.580002,36.810001,34.790001,35.049999,35.049999,2904300
2023-10-30,35.540001,35.860001,33.009998,33.820000,33.820000,3079100
2023-10-31,34.490002,36.139999,34.020000,35.669998,35.669998,2520600
2023-11-01,35.799999,36.349998,34.860001,35.770000,35.770000,1803500
2023-11-02,36.029999,37.480000,36.029999,36.450001,36.450001,1280700
2023-11-03,37.869999,38.070000,36.150002,36.799999,36.799999,2129600
2023-11-06,37.259998,37.299999,35.549999,36.529999,36.529999,1171200
2023-11-07,36.849998,37.279999,36.029999,36.970001,36.970001,1310300
2023-11-08,37.000000,37.669998,36.180000,36.660000,36.660000,968600
2023-11-09,37.040001,37.279999,35.990002,36.139999,36.139999,1325500
