Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,167.770004,169.160004,162.360001,163.639999,163.639999,656500
2023-10-10,160.509995,165.520004,160.199997,163.399994,163.399994,1263500
2023-10-11,163.289993,165.139999,158.289993,163.839996,163.839996,571600
2023-10-12,161.850006,164.990005,159.949997,164.399994,164.399994,458700
2023-10-13,163.440002,163.610001,158.440002,158.699997,158.699997,1114800
2023-10-16,160.220001,168.250000,159.229996,166.000000,166.000000,864200
2023-10-17,164.320007,167.889999,163.559998,165.529999,165.529999,565700
2023-10-18,164.229996,164.610001,159.750000,159.830002,159.830002,483400
2023-10-19,159.619995,160.929993,157.250000,158.240005,158.240005,532200
2023-10-20,157.710007,158.880005,155.160004,156.300003,156.300003,326900
2023-10-23,154.300003,157.300003,153.679993,155.309998,155.309998,356000
2023-10-24,155.449997,160.229996,155.449997,158.690002,158.690002,418300
2023-10-25,156.399994,159.039993,155.360001,156.479996,156.479996,365900
2023-10-26,155.100006,157.380005,150.470001,152.550003,152.550003,852900
2023-10-27,153.889999,156.649994,151.839996,152.130005,152.130005,392900
2023-10-30,152.330002,152.970001,150.179993,151.830002,151.830002,302700
2023-10-31,151.639999,156.710007,151.619995,154.350006,154.350006,587500
2023-11-01,155.690002,155.979996,149.539993,152.110001,152.110001,474100
2023-11-02,153.559998,160.000000,153.559998,158.320007,158.320007,579400
2023-11-03,159.479996,169.270004,158.699997,168.050003,168.050003,909200
2023-11-06,168.070007,168.600006,166.750000,168.100006,168.100006,450500
2023-11-07,168.490005,174.009995,167.529999,169.559998,169.559998,607500
2023-11-08,169.339996,172.199997,168.589996,169.750000,169.750000,442000
2023-11-09,169.320007,169.470001,166.059998,166.350006,166.350006,427200
